JobName,JobType,InputSpec,StartTime,EndTime,ElapsedTime 
HadoopWordCount,RawInput,AA,03/04/2025 11:18:35.05,11:18:55.50,20.045 
HadoopWordCount,RawInput,AA,AB,03/04/2025 11:19:51.74,11:20:30.57,38.983 
HadoopWordCount,RawInput,AA,AB,AC,03/04/2025 11:22:03.85,11:22:58.72,54.987 
HadoopWordCount,RawInput,AA,AB,AC,AD,03/04/2025 11:25:19.89,11:26:40.57,80.968 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,03/04/2025 11:29:28.80,11:30:56.45,87.965 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,03/04/2025 11:34:26.97,11:36:12.17,105.920 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,03/04/2025 11:40:15.74,11:42:14.71,118.997 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,03/04/2025 11:46:51.26,11:49:25.45,154.019 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,03/04/2025 11:54:55.02,11:57:51.99,176.097 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,03/04/2025 12:03:38.11,12:06:44.96,186.085 
HadoopWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,03/04/2025 12:12:47.67,12:16:06.83,199.015 
HadoopWordPairs,RawInput,AA,03/04/2025 11:19:02.48,11:19:31.79,29.031 
HadoopWordPairs,RawInput,AA,AB,03/04/2025 11:20:38.12,11:21:32.85,54.073 
HadoopWordPairs,RawInput,AA,AB,AC,03/04/2025 11:23:06.44,11:24:37.37,90.993 
HadoopWordPairs,RawInput,AA,AB,AC,AD,03/04/2025 11:26:48.26,11:28:39.41,111.015 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,03/04/2025 11:31:04.01,11:33:16.71,132.070 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,03/04/2025 11:36:19.84,11:39:09.96,170.012 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,03/04/2025 11:42:22.32,11:45:36.47,194.015 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,03/04/2025 11:49:32.90,11:53:29.97,237.007 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,03/04/2025 11:58:16.09,12:02:14.38,238.030 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,03/04/2025 12:06:53.61,12:11:18.01,264.940 
HadoopWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,03/04/2025 12:16:16.38,12:21:14.46,298.009 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AA,03/04/2025 11:19:45.24,11:19:51.73,6.049 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AB,03/04/2025 11:21:54.40,11:22:03.84,9.045 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AC,03/04/2025 11:25:06.24,11:25:19.88,13.064 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AD,03/04/2025 11:29:15.21,11:29:28.79,13.058 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AE,03/04/2025 11:34:12.46,11:34:26.96,14.050 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AF,03/04/2025 11:39:58.00,11:40:15.72,17.973 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AG,03/04/2025 11:46:30.40,11:46:51.26,20.986 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AH,03/04/2025 11:54:32.15,11:54:55.01,22.986 
NumberWordPairsTop,Dependent,HadoopWordPairs/AA-AI,03/04/2025 12:03:16.52,12:03:38.10,21.958 
