JobName,JobType,InputSpec,StartTime,EndTime,ElapsedTime
SparkWordCount,RawInput,AA,2025-04-03 18:12:29.144851376,2025-04-03 18:12:34.737001138,5.590
SparkWordCount,RawInput,AA,AB,2025-04-03 18:12:59.089090151,2025-04-03 18:13:07.287976694,8.199
SparkWordCount,RawInput,AA,AB,AC,2025-04-03 18:13:40.267588125,2025-04-03 18:13:52.421250960,12.154
SparkWordCount,RawInput,AA,AB,AC,AD,2025-04-03 18:14:40.263051981,2025-04-03 18:14:56.350722420,16.088
SparkWordCount,RawInput,AA,AB,AC,AD,AE,2025-04-03 18:15:48.991309380,2025-04-03 18:16:08.308269562,19.317
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,2025-04-03 18:17:14.595786610,2025-04-03 18:17:37.003672606,22.408
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,2025-04-03 18:18:45.963723837,2025-04-03 18:19:11.631237577,25.668
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,2025-04-03 18:20:29.928800682,2025-04-03 18:21:00.131658163,30.203
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,2025-04-03 18:22:28.912481316,2025-04-03 18:23:04.028713589,35.116
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,2025-04-03 18:24:42.468213465,2025-04-03 18:25:23.308995365,40.841
SparkWordCount,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,2025-04-03 18:27:12.443687189,2025-04-03 18:27:56.494633177,44.050
SparkWordPairs,RawInput,AA,2025-04-03 18:12:40.092872294,2025-04-03 18:12:49.375451271,9.283
SparkWordPairs,RawInput,AA,AB,2025-04-03 18:13:12.784344516,2025-04-03 18:13:27.483205375,14.699
SparkWordPairs,RawInput,AA,AB,AC,2025-04-03 18:13:58.812414296,2025-04-03 18:14:23.506106380,24.694
SparkWordPairs,RawInput,AA,AB,AC,AD,2025-04-03 18:15:02.249623347,2025-04-03 18:15:30.714545844,28.465
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,2025-04-03 18:16:15.359311700,2025-04-03 18:16:53.732075578,38.373
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,2025-04-03 18:17:42.789065814,2025-04-03 18:18:23.749159377,40.960
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,2025-04-03 18:19:17.437569890,2025-04-03 18:20:05.484377721,48.047
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,2025-04-03 18:21:06.198716441,2025-04-03 18:22:01.712468321,55.514
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,2025-04-03 18:23:09.902218001,2025-04-03 18:24:13.247907254,63.346
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,2025-04-03 18:25:29.227758297,2025-04-03 18:26:40.226608382,70.999
SparkWordPairs,RawInput,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,2025-04-03 18:28:02.410570005,2025-04-03 18:29:18.647368143,76.237
WordCountFilter,Dependent,SparkWordCount/AA-AA,2025-04-03 18:12:34.742345066,2025-04-03 18:12:37.444285505,2.702
WordCountFilter,Dependent,SparkWordCount/AA-AB,2025-04-03 18:13:07.293705312,2025-04-03 18:13:09.979181972,2.686
WordCountFilter,Dependent,SparkWordCount/AA-AC,2025-04-03 18:13:52.426312076,2025-04-03 18:13:55.307691301,2.882
WordCountFilter,Dependent,SparkWordCount/AA-AD,2025-04-03 18:14:56.356055170,2025-04-03 18:14:59.336586404,2.981
WordCountFilter,Dependent,SparkWordCount/AA-AE,2025-04-03 18:16:08.314233321,2025-04-03 18:16:11.812412848,3.498
WordCountFilter,Dependent,SparkWordCount/AA-AF,2025-04-03 18:17:37.009201805,2025-04-03 18:17:39.969581220,2.960
WordCountFilter,Dependent,SparkWordCount/AA-AG,2025-04-03 18:19:11.635896126,2025-04-03 18:19:14.540267028,2.904
WordCountFilter,Dependent,SparkWordCount/AA-AH,2025-04-03 18:21:00.136841757,2025-04-03 18:21:03.126398859,2.990
WordCountFilter,Dependent,SparkWordCount/AA-AI,2025-04-03 18:23:04.033961392,2025-04-03 18:23:06.941352939,2.908
WordCountFilter,Dependent,SparkWordCount/AA-AJ,2025-04-03 18:25:23.314099817,2025-04-03 18:25:26.268608922,2.955
WordCountFilter,Dependent,SparkWordCount/AA-AK,2025-04-03 18:27:56.499943145,2025-04-03 18:27:59.481130242,2.981
WordCountTop,Dependent,SparkWordCount/AA-AA,2025-04-03 18:12:37.449116164,2025-04-03 18:12:40.087631635,2.639
WordCountTop,Dependent,SparkWordCount/AA-AB,2025-04-03 18:13:09.983714494,2025-04-03 18:13:12.778108574,2.795
WordCountTop,Dependent,SparkWordCount/AA-AC,2025-04-03 18:13:55.312820639,2025-04-03 18:13:58.806673934,3.494
WordCountTop,Dependent,SparkWordCount/AA-AD,2025-04-03 18:14:59.342710892,2025-04-03 18:15:02.244354030,2.902
WordCountTop,Dependent,SparkWordCount/AA-AE,2025-04-03 18:16:11.818426667,2025-04-03 18:16:15.352535193,3.535
WordCountTop,Dependent,SparkWordCount/AA-AF,2025-04-03 18:17:39.975296957,2025-04-03 18:17:42.783273761,2.808
WordCountTop,Dependent,SparkWordCount/AA-AG,2025-04-03 18:19:14.545222154,2025-04-03 18:19:17.432597292,2.888
WordCountTop,Dependent,SparkWordCount/AA-AH,2025-04-03 18:21:03.131501283,2025-04-03 18:21:06.193432488,3.062
WordCountTop,Dependent,SparkWordCount/AA-AI,2025-04-03 18:23:06.946910549,2025-04-03 18:23:09.896913881,2.950
WordCountTop,Dependent,SparkWordCount/AA-AJ,2025-04-03 18:25:26.274014944,2025-04-03 18:25:29.222231245,2.948
WordCountTop,Dependent,SparkWordCount/AA-AK,2025-04-03 18:27:59.486427928,2025-04-03 18:28:02.405470153,2.919
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AA,2025-04-03 18:12:55.190603111,2025-04-03 18:12:59.083069275,3.892
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AB,2025-04-03 18:13:36.168049917,2025-04-03 18:13:40.261929046,4.094
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AC,2025-04-03 18:14:34.797999945,2025-04-03 18:14:40.257402803,5.459
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AD,2025-04-03 18:15:44.376552016,2025-04-03 18:15:48.985890841,4.609
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AE,2025-04-03 18:17:09.003876470,2025-04-03 18:17:14.590575218,5.587
